file_scope,column_name,description_cn,description_en,unit,type,role,notes
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,case_id,工况编号,Case identifier,-,string,identifier,如果原始文件中使用 CaseID，可与 case_id 等价。
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,CaseID,工况编号,Case identifier,-,string,identifier,保留 OpenSeesPy 输出中的原始字段名；若已统一为 case_id，可忽略本行。
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,gm_name,地震动名称,Ground motion name,-,string,input,建议取值：ei 或 northridge。
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,gm_file,地震动文件相对路径,Relative path of the ground motion file,-,string,metadata,建议使用相对路径，例如 ground_motion/ei3.txt，不保留本地绝对路径。
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,success,分析是否成功,Whether the nonlinear time-history analysis was completed successfully,-,bool,metadata,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,message,分析状态信息,Analysis status or error message,-,string,metadata,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,analysis_time_sec,单个工况分析耗时,Analysis time for a single case,s,float,metadata,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,n_story,结构层数,Number of stories,-,int,input,本数据集中为 5。
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,story_height_m,层高,Story height,m,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,floor_mass_kg,楼层集中质量,Lumped floor mass,kg,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,damping_ratio,目标阻尼比,Target damping ratio used for Rayleigh damping,-,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,alpha_post,屈后刚度比,Post-yield stiffness ratio,-,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,K1_N_per_m,第 1 层初始侧向刚度,Initial lateral stiffness of story 1,N/m,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,K2_N_per_m,第 2 层初始侧向刚度,Initial lateral stiffness of story 2,N/m,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,K3_N_per_m,第 3 层初始侧向刚度,Initial lateral stiffness of story 3,N/m,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,K4_N_per_m,第 4 层初始侧向刚度,Initial lateral stiffness of story 4,N/m,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,K5_N_per_m,第 5 层初始侧向刚度,Initial lateral stiffness of story 5,N/m,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,Qy1_N,第 1 层屈服剪力,Yield shear force of story 1,N,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,Qy2_N,第 2 层屈服剪力,Yield shear force of story 2,N,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,Qy3_N,第 3 层屈服剪力,Yield shear force of story 3,N,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,Qy4_N,第 4 层屈服剪力,Yield shear force of story 4,N,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,Qy5_N,第 5 层屈服剪力,Yield shear force of story 5,N,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,rayleigh_alphaM,Rayleigh 质量比例阻尼系数,Mass-proportional Rayleigh damping coefficient,-,float,derived_parameter,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,rayleigh_betaK,Rayleigh 初始刚度比例阻尼系数,Initial-stiffness-proportional Rayleigh damping coefficient,-,float,derived_parameter,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,dt,地震动时间步长,Ground motion time step,s,float,input,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,gm_unit,地震动加速度单位,Unit of ground motion acceleration,-,string,metadata,本数据集中可为 cm/s2、m/s2 或 g；以实际文件为准。
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,n_steps,时程分析步数,Number of time-history analysis steps,-,int,metadata,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,top_disp_max_m,最大顶点位移,Maximum absolute roof displacement,m,float,output,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,max_story_drift,最大层间位移角,Maximum absolute interstory drift ratio,-,float,output,
summary_results_all.csv / summary_results_ei.csv / summary_results_northridge.csv,base_shear_max_N,最大基底剪力,Maximum absolute base shear,N,float,output,
