CaseID,StructID,GM_ID,gm_file,gm_dt_sec,gm_unit,gm_scale,k_global_scale,qy_global_scale,mass_scale,damping_ratio,alpha_post,story_height_m,n_story,k1_scale,k2_scale,k3_scale,k4_scale,k5_scale,qy1_scale,qy2_scale,qy3_scale,qy4_scale,qy5_scale,K1_N_per_m,K2_N_per_m,K3_N_per_m,K4_N_per_m,K5_N_per_m,Qy1_N,Qy2_N,Qy3_N,Qy4_N,Qy5_N,floor_mass_kg,model_type,run_status,success,message,top_disp_max_m,max_story_drift,base_shear_max_N,analysis_time_sec
Case0001,Struct0001,EI,ground_motion/ei3.txt,0.02,g,1,0.8264,0.8403,0.8106,0.0331,0.042,3.334,5,0.948,0.9705,0.9014,1.0498,0.9849,1.0814,1.1423,0.8614,0.8584,1.0956,141016896,132333498,111737544,117119887.2,97670563.2,3634801.68,3551536.35,2461037.03,2236071.91,2577771.5,202650,5-story shear model,pending,,,,,,
Case0002,Struct0001,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8264,0.8403,0.8106,0.0331,0.042,3.334,5,0.948,0.9705,0.9014,1.0498,0.9849,1.0814,1.1423,0.8614,0.8584,1.0956,141016896,132333498,111737544,117119887.2,97670563.2,3634801.68,3551536.35,2461037.03,2236071.91,2577771.5,202650,5-story shear model,pending,,,,,,
Case0003,Struct0002,EI,ground_motion/ei3.txt,0.02,g,1,0.9399,1.021,1.1335,0.0659,0.0242,3.594,5,1.0198,0.9916,0.8705,1.1178,0.9393,1.0131,1.0808,1.1372,1.0994,0.8689,172531803.6,153780798.6,122727442.5,141833729.7,105941768.4,4137500.4,4082938.16,3947676.08,3479710.94,2484011.32,283375,5-story shear model,pending,,,,,,
Case0004,Struct0002,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.9399,1.021,1.1335,0.0659,0.0242,3.594,5,1.0198,0.9916,0.8705,1.1178,0.9393,1.0131,1.0808,1.1372,1.0994,0.8689,172531803.6,153780798.6,122727442.5,141833729.7,105941768.4,4137500.4,4082938.16,3947676.08,3479710.94,2484011.32,283375,5-story shear model,pending,,,,,,
Case0005,Struct0003,EI,ground_motion/ei3.txt,0.02,g,1,0.918,1.1976,1.1769,0.0627,0.0433,3.572,5,0.9741,0.8667,1.1161,0.8736,0.8934,1.0601,0.9746,1.0242,0.8748,1.0156,160960284,131279049,153686970,108265248,98416944,5078303.04,4318569.55,4170378.53,3247747.49,3405591.17,294225,5-story shear model,pending,,,,,,
Case0006,Struct0003,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.918,1.1976,1.1769,0.0627,0.0433,3.572,5,0.9741,0.8667,1.1161,0.8736,0.8934,1.0601,0.9746,1.0242,0.8748,1.0156,160960284,131279049,153686970,108265248,98416944,5078303.04,4318569.55,4170378.53,3247747.49,3405591.17,294225,5-story shear model,pending,,,,,,
Case0007,Struct0004,EI,ground_motion/ei3.txt,0.02,g,1,0.9678,1.2142,0.9769,0.0573,0.0447,3.559,5,0.894,0.9371,1.0178,0.9151,1.0054,0.9844,1.1278,1.0974,0.904,1.1376,155738376,149642687.7,147754026,119560560.3,116763134.4,4781033.92,5066686.61,4530374.47,3402674.08,3867566.98,244225,5-story shear model,pending,,,,,,
Case0008,Struct0004,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.9678,1.2142,0.9769,0.0573,0.0447,3.559,5,0.894,0.9371,1.0178,0.9151,1.0054,0.9844,1.1278,1.0974,0.904,1.1376,155738376,149642687.7,147754026,119560560.3,116763134.4,4781033.92,5066686.61,4530374.47,3402674.08,3867566.98,244225,5-story shear model,pending,,,,,,
Case0009,Struct0005,EI,ground_motion/ei3.txt,0.02,g,1,1.1781,0.8097,1.1383,0.0661,0.0133,3.217,5,0.9148,0.955,1.0681,0.9974,1.009,1.1279,1.0027,0.8836,0.8758,0.871,193990658.4,185639107.5,188749291.5,158629986.9,142644348,3653042.52,3003978.9,2432533.13,2198319.31,1974696.36,284575,5-story shear model,pending,,,,,,
Case0010,Struct0005,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1781,0.8097,1.1383,0.0661,0.0133,3.217,5,0.9148,0.955,1.0681,0.9974,1.009,1.1279,1.0027,0.8836,0.8758,0.871,193990658.4,185639107.5,188749291.5,158629986.9,142644348,3653042.52,3003978.9,2432533.13,2198319.31,1974696.36,284575,5-story shear model,pending,,,,,,
Case0011,Struct0006,EI,ground_motion/ei3.txt,0.02,g,1,1.0652,1.0214,0.94,0.0555,0.0426,3.386,5,0.9659,0.8714,0.968,1.1382,0.9518,0.8866,0.9156,0.946,1.0401,0.9258,185197802.4,153155521.2,154667040,163675436.4,121662883.2,3622292.96,3460217.21,3285230.96,3293310.23,2647713.94,235000,5-story shear model,pending,,,,,,
Case0012,Struct0006,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.0652,1.0214,0.94,0.0555,0.0426,3.386,5,0.9659,0.8714,0.968,1.1382,0.9518,0.8866,0.9156,0.946,1.0401,0.9258,185197802.4,153155521.2,154667040,163675436.4,121662883.2,3622292.96,3460217.21,3285230.96,3293310.23,2647713.94,235000,5-story shear model,pending,,,,,,
Case0013,Struct0007,EI,ground_motion/ei3.txt,0.02,g,1,0.8322,1.11,1.1439,0.0433,0.032,3.05,5,1.0703,0.91,0.888,1.062,1.0475,1.1485,1.0259,0.8804,0.9034,1.0172,160326658.8,124954830,110849040,119312514,104607540,5099340,4213371.3,3322629.6,3108599.4,3161457.6,285975,5-story shear model,pending,,,,,,
Case0014,Struct0007,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8322,1.11,1.1439,0.0433,0.032,3.05,5,1.0703,0.91,0.888,1.062,1.0475,1.1485,1.0259,0.8804,0.9034,1.0172,160326658.8,124954830,110849040,119312514,104607540,5099340,4213371.3,3322629.6,3108599.4,3161457.6,285975,5-story shear model,pending,,,,,,
Case0015,Struct0008,EI,ground_motion/ei3.txt,0.02,g,1,1.1469,1.152,0.8058,0.0354,0.0226,3.058,5,1.1274,1.1278,1.0147,0.8667,0.9223,0.9021,1.0818,0.9706,0.9688,0.9805,232742710.8,213423180.3,174563914.5,134192461.1,126934304.4,4156876.8,4611064.32,3801646.08,3459778.56,3162700.8,201450,5-story shear model,pending,,,,,,
Case0016,Struct0008,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1469,1.152,0.8058,0.0354,0.0226,3.058,5,1.1274,1.1278,1.0147,0.8667,0.9223,0.9021,1.0818,0.9706,0.9688,0.9805,232742710.8,213423180.3,174563914.5,134192461.1,126934304.4,4156876.8,4611064.32,3801646.08,3459778.56,3162700.8,201450,5-story shear model,pending,,,,,,
Case0017,Struct0009,EI,ground_motion/ei3.txt,0.02,g,1,0.9421,1.1252,1.0274,0.0704,0.0462,3.192,5,1.0943,0.9222,0.9125,0.8503,0.9685,0.9915,0.9359,1.0864,1.0905,0.9638,185569205.4,143352762.3,128949937.5,108144130.1,109490862,4462543.2,3896376.32,4156218.75,3803794.86,3036509.73,256850,5-story shear model,pending,,,,,,
Case0018,Struct0009,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.9421,1.1252,1.0274,0.0704,0.0462,3.192,5,1.0943,0.9222,0.9125,0.8503,0.9685,0.9915,0.9359,1.0864,1.0905,0.9638,185569205.4,143352762.3,128949937.5,108144130.1,109490862,4462543.2,3896376.32,4156218.75,3803794.86,3036509.73,256850,5-story shear model,pending,,,,,,
Case0019,Struct0010,EI,ground_motion/ei3.txt,0.02,g,1,0.8468,1.1833,0.9454,0.0712,0.0421,3.592,5,0.9428,0.9314,1.1339,1.039,1.1196,0.9976,0.9612,1.0691,1.0945,0.9192,143705347.2,130137070.8,144027978,118776402,113769273.6,4721840.32,4208335.45,4301224.5,4014877.74,3045530.21,236350,5-story shear model,pending,,,,,,
Case0020,Struct0010,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8468,1.1833,0.9454,0.0712,0.0421,3.592,5,0.9428,0.9314,1.1339,1.039,1.1196,0.9976,0.9612,1.0691,1.0945,0.9192,143705347.2,130137070.8,144027978,118776402,113769273.6,4721840.32,4208335.45,4301224.5,4014877.74,3045530.21,236350,5-story shear model,pending,,,,,,
Case0021,Struct0011,EI,ground_motion/ei3.txt,0.02,g,1,0.8414,0.8517,1.1793,0.0214,0.0234,3.56,5,0.9822,1.105,0.884,1.1379,1.0019,0.8731,1.0024,1.0013,1.0018,1.1499,148756154.4,153408255,111569640,129252923.1,101159839.2,2974477.08,3158853.1,2899544.51,2645022.49,2742235.52,294825,5-story shear model,pending,,,,,,
Case0022,Struct0011,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,0.8414,0.8517,1.1793,0.0214,0.0234,3.56,5,0.9822,1.105,0.884,1.1379,1.0019,0.8731,1.0024,1.0013,1.0018,1.1499,148756154.4,153408255,111569640,129252923.1,101159839.2,2974477.08,3158853.1,2899544.51,2645022.49,2742235.52,294825,5-story shear model,pending,,,,,,
Case0023,Struct0012,EI,ground_motion/ei3.txt,0.02,g,1,1.1238,0.9507,0.826,0.0608,0.0222,3.544,5,0.8784,1.1334,0.8622,1.0739,1.0674,0.9339,1.011,1.0238,0.9605,1.0152,177686265.6,210162961.8,145341054,162924590.7,143945294.4,3551434.92,3556283.49,3309310.64,2830756.79,2702421.79,206500,5-story shear model,pending,,,,,,
Case0024,Struct0012,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1238,0.9507,0.826,0.0608,0.0222,3.544,5,0.8784,1.1334,0.8622,1.0739,1.0674,0.9339,1.011,1.0238,0.9605,1.0152,177686265.6,210162961.8,145341054,162924590.7,143945294.4,3551434.92,3556283.49,3309310.64,2830756.79,2702421.79,206500,5-story shear model,pending,,,,,,
Case0025,Struct0013,EI,ground_motion/ei3.txt,0.02,g,1,1.1209,0.8224,1.0883,0.0566,0.0163,3.588,5,0.8696,0.9533,0.9999,1.0125,1.1139,1.0841,1.0138,0.9621,1.0441,0.9632,175452235.2,176311405.1,168118186.5,153213018.8,149828461.2,3566255.36,3084871.74,2690185.54,2661870.3,2217979.9,272075,5-story shear model,pending,,,,,,
Case0026,Struct0013,NORTHRIDGE,ground_motion/northbridge.txt,0.02,g,1,1.1209,0.8224,1.0883,0.0566,0.0163,3.588,5,0.8696,0.9533,0.9999,1.0125,1.1139,1.0841,1.0138,0.9621,1.0441,0.9632,175452235.2,176311405.1,168118186.5,153213018.8,149828461.2,3566255.36,3084871.74,2690185.54,2661870.3,2217979.9,272075,5-story shear model,pending,,,,,,
